ID,Location,Num_Days,Num_People,Food_Level,Hotel_Rating,Guide_Support,Transport_Type,Season,Distance_km,Activities_Count,Total_Cost
124,Udaipur,1,7,Standard,5,No,Train,Peak,17,10,92550
125,Rishikesh,4,5,Budget,4,Yes,Car,Off,17,5,120000
126,Udaipur,6,5,Premium,3,Yes,Bus,Off,6,9,161000
127,Kochi,6,1,Budget,3,No,Train,Peak,13,9,47700
128,Varanasi,5,4,Budget,3,Yes,Train,Peak,11,3,142500
129,Manali,10,1,Budget,3,Yes,Car,Peak,8,2,71250
130,Ooty,2,6,Budget,5,Yes,Bus,Off,14,9,87600
131,Delhi,2,1,Premium,3,Yes,Car,Off,8,7,17000
132,Chennai,7,3,Budget,3,No,Car,Off,1,1,96800
133,Chennai,3,5,Standard,5,No,Car,Off,6,6,112000
134,Shimla,1,3,Standard,5,Yes,Bus,Peak,10,10,43950
135,Shimla,5,8,Standard,4,Yes,Flight,Off,3,10,270500
136,Amritsar,6,2,Standard,4,No,Bus,Peak,14,7,109050
137,Pondicherry,3,1,Standard,2,Yes,Car,Peak,8,10,28950
138,Rishikesh,8,5,Standard,5,No,Flight,Peak,5,3,435750
139,Udaipur,8,8,Standard,5,No,Bus,Peak,12,9,652350
140,Hyderabad,3,4,Budget,4,Yes,Bus,Off,19,3,70600
141,Leh,8,2,Premium,5,Yes,Train,Peak,6,6,179250
142,Shimla,7,5,Premium,4,Yes,Train,Peak,10,9,335250
143,Delhi,1,8,Standard,2,Yes,Bus,Peak,17,10,64950
144,Udaipur,1,4,Budget,2,Yes,Flight,Off,10,8,38700
145,Bangalore,2,5,Budget,5,Yes,Flight,Off,14,8,93500
146,Pondicherry,4,8,Premium,5,No,Bus,Off,11,3,233500
147,Rishikesh,2,5,Budget,2,Yes,Bus,Peak,8,8,65250
148,Leh,1,4,Budget,3,No,Bus,Peak,13,4,34800
149,Amritsar,6,2,Premium,2,Yes,Flight,Peak,3,7,94500
150,Bangalore,5,2,Premium,4,Yes,Train,Off,13,2,65500
151,Leh,7,6,Premium,5,Yes,Car,Off,13,9,312000
152,Jaipur,1,1,Budget,2,Yes,Train,Peak,20,10,16950
153,Pondicherry,3,8,Premium,4,Yes,Bus,Off,1,7,157000
154,Bangalore,10,1,Standard,4,Yes,Bus,Peak,7,8,93750
155,Udaipur,5,2,Premium,3,Yes,Train,Off,6,10,59500
156,Kochi,9,6,Premium,5,Yes,Car,Peak,8,8,593250
157,Goa,6,7,Budget,3,Yes,Flight,Peak,18,6,330150
158,Delhi,4,8,Standard,3,Yes,Car,Peak,14,2,248550
159,Darjeeling,10,5,Premium,3,No,Car,Peak,9,10,397500
160,Delhi,10,2,Standard,4,No,Flight,Peak,3,9,189750
161,Hyderabad,4,7,Premium,4,No,Flight,Off,8,3,204500
162,Mysore,8,7,Standard,3,No,Bus,Off,3,1,265100
163,Leh,4,2,Premium,3,Yes,Flight,Peak,7,3,79500
164,Rishikesh,2,8,Budget,3,Yes,Car,Peak,13,2,130950
165,Amritsar,9,7,Budget,4,No,Flight,Off,10,2,369900
166,Kochi,6,6,Premium,4,Yes,Bus,Off,14,9,228000
167,Bangalore,2,6,Budget,4,Yes,Car,Peak,7,4,118650
168,Pondicherry,3,4,Standard,4,No,Flight,Peak,8,10,138300
169,Udaipur,4,5,Standard,5,No,Bus,Peak,1,6,210000
170,Amritsar,3,5,Budget,2,Yes,Bus,Peak,13,10,91500
171,Shimla,10,1,Standard,2,No,Bus,Peak,5,2,57000
172,Hyderabad,3,5,Budget,5,Yes,Car,Peak,12,9,165750
173,Ooty,3,1,Standard,2,No,Bus,Off,15,5,14300
174,Amritsar,9,5,Budget,4,Yes,Train,Off,14,7,251000
175,Shimla,9,7,Premium,2,Yes,Train,Peak,5,7,401250
176,Rishikesh,5,5,Standard,5,Yes,Train,Off,14,9,178500
177,Varanasi,6,3,Premium,3,No,Flight,Peak,7,2,159000
178,Leh,3,8,Premium,4,Yes,Train,Off,19,6,160500
179,Kochi,1,5,Budget,5,No,Train,Peak,11,3,60750
180,Pondicherry,1,5,Premium,5,Yes,Flight,Off,10,10,66500
181,Rishikesh,7,8,Standard,3,Yes,Bus,Off,11,1,267600
182,Agra,6,4,Budget,4,No,Train,Off,20,8,137200
183,Amritsar,4,5,Premium,2,No,Train,Off,6,4,89500
184,Mumbai,8,8,Premium,5,No,Flight,Off,17,4,490000
185,Jaipur,9,3,Budget,4,No,Train,Off,14,10,152600
186,Varanasi,1,8,Premium,3,Yes,Bus,Off,11,3,51000
187,Jaipur,1,2,Premium,4,No,Car,Peak,5,8,30000
188,Ooty,8,2,Standard,2,No,Train,Peak,10,9,97650
189,Leh,4,5,Premium,2,No,Bus,Peak,15,1,128250
190,Delhi,2,3,Standard,3,Yes,Flight,Off,4,10,49100
191,Hyderabad,7,7,Standard,2,No,Train,Peak,15,7,285600
192,Leh,2,7,Budget,5,Yes,Flight,Peak,20,8,193050
193,Chennai,5,1,Budget,5,No,Bus,Peak,15,3,51000
194,Delhi,10,4,Premium,2,Yes,Train,Peak,3,9,258000
195,Chennai,6,4,Premium,4,No,Car,Off,1,10,157000
196,Kochi,6,4,Premium,2,No,Bus,Off,10,9,104500
197,Jaipur,10,1,Premium,2,No,Train,Peak,7,4,65250
198,Chennai,9,8,Budget,4,No,Flight,Peak,6,4,635400
199,Shimla,10,4,Premium,2,Yes,Bus,Peak,3,4,251250
200,Mysore,2,6,Premium,5,No,Train,Off,11,8,97000
201,Delhi,2,7,Budget,4,Yes,Bus,Peak,10,9,130800
202,Shimla,3,5,Standard,5,No,Bus,Off,12,3,105500
203,Darjeeling,7,8,Standard,5,No,Train,Peak,18,10,579900
204,Hyderabad,8,6,Standard,4,Yes,Bus,Off,3,3,277800
205,Hyderabad,7,6,Budget,5,Yes,Car,Peak,9,6,421650
206,Pondicherry,1,5,Budget,5,Yes,Bus,Off,16,8,42000
207,Mumbai,2,5,Standard,4,No,Car,Peak,6,10,106500
208,Agra,3,4,Premium,2,No,Flight,Off,3,4,70000
209,Leh,1,6,Standard,3,Yes,Car,Off,7,5,43600
210,Manali,4,6,Premium,4,Yes,Train,Off,4,8,158500
211,Mumbai,8,3,Premium,3,No,Flight,Off,3,1,135500
212,Mumbai,8,1,Budget,5,Yes,Train,Peak,19,6,84600
213,Varanasi,6,6,Premium,2,No,Bus,Off,2,3,151500
214,Hyderabad,2,7,Premium,4,Yes,Flight,Off,14,4,122500
215,Hyderabad,2,8,Standard,4,No,Train,Peak,11,10,159900
216,Jaipur,3,8,Premium,3,No,Train,Peak,3,2,199500
217,Hyderabad,3,8,Standard,2,No,Flight,Peak,16,6,194100
218,Goa,1,6,Budget,2,No,Car,Off,5,3,33300
219,Agra,7,7,Budget,2,No,Flight,Peak,7,2,296550
220,Manali,6,5,Standard,5,Yes,Flight,Peak,3,4,339750
221,Mumbai,5,3,Premium,5,Yes,Flight,Peak,2,5,186000
222,Pondicherry,9,2,Budget,3,No,Train,Off,3,8,84400
223,Chennai,8,3,Budget,3,No,Train,Peak,17,2,163050
224,Bangalore,2,1,Standard,4,Yes,Train,Off,13,9,18700
225,Hyderabad,10,6,Standard,4,No,Car,Off,2,5,350500
226,Rishikesh,7,4,Budget,3,No,Bus,Off,17,3,125900
227,Kochi,4,4,Budget,3,No,Flight,Off,3,3,90300
228,Jaipur,3,6,Premium,5,Yes,Car,Peak,12,7,214500
229,Hyderabad,5,1,Premium,4,No,Flight,Off,16,7,38500
230,Hyderabad,6,4,Premium,4,No,Train,Peak,16,5,228750
231,Pondicherry,2,7,Premium,5,Yes,Train,Off,9,5,112500
232,Mumbai,5,6,Budget,5,No,Bus,Peak,20,1,293250
233,Bangalore,4,8,Standard,2,Yes,Bus,Peak,5,5,190800
234,Jaipur,6,4,Standard,3,No,Train,Off,1,5,118900
235,Ooty,3,2,Budget,3,No,Car,Off,10,8,33800
236,Varanasi,7,2,Standard,3,Yes,Car,Off,15,4,71900
237,Varanasi,6,3,Premium,5,Yes,Train,Peak,13,5,201750
238,Agra,3,1,Standard,4,No,Car,Peak,5,1,28950
239,Jaipur,5,6,Standard,3,Yes,Flight,Off,13,8,173500
240,Agra,5,1,Standard,5,Yes,Flight,Off,2,9,44000
241,Darjeeling,7,7,Budget,3,No,Train,Peak,16,7,337050
242,Jaipur,5,3,Standard,3,Yes,Flight,Off,17,6,88500
243,Jaipur,10,6,Standard,4,No,Train,Off,1,4,347000
244,Kochi,4,4,Budget,4,No,Bus,Off,10,6,91800
245,Rishikesh,7,3,Budget,3,No,Train,Off,15,1,95300
246,Shimla,10,7,Standard,5,Yes,Flight,Off,13,10,503500
247,Chennai,9,5,Premium,5,Yes,Flight,Off,3,2,342500
248,Kochi,7,7,Premium,2,No,Flight,Off,8,3,232500
249,Delhi,5,1,Budget,2,No,Flight,Off,11,6,24500
250,Varanasi,9,7,Premium,3,No,Flight,Peak,4,5,528750
251,Delhi,5,1,Standard,2,No,Car,Peak,9,2,31500
252,Udaipur,7,4,Budget,4,No,Bus,Peak,2,1,229350
253,Bangalore,4,1,Budget,5,Yes,Train,Off,3,7,31700
254,Mumbai,3,2,Premium,5,Yes,Car,Peak,15,6,75750
255,Jaipur,4,7,Budget,5,No,Train,Peak,13,3,282600
256,Varanasi,8,8,Standard,5,No,Car,Off,11,9,442900
257,Rishikesh,3,6,Premium,2,Yes,Car,Off,16,6,88500
258,Shimla,6,8,Budget,4,No,Bus,Off,9,3,263900
259,Leh,6,8,Standard,2,Yes,Train,Peak,9,1,280200
260,Udaipur,2,8,Premium,4,Yes,Car,Off,12,10,118500
261,Bangalore,7,1,Budget,5,No,Bus,Peak,5,8,73650
262,Bangalore,3,7,Standard,3,No,Flight,Off,8,7,135100
263,Rishikesh,2,4,Standard,3,Yes,Train,Peak,15,8,72450
264,Rishikesh,7,3,Standard,3,No,Car,Peak,10,10,161400
265,Agra,3,8,Standard,2,Yes,Flight,Off,4,1,128400
266,Mysore,2,8,Premium,4,No,Car,Peak,8,7,173250
267,Delhi,2,4,Premium,5,No,Bus,Off,6,3,61500
268,Rishikesh,6,7,Budget,4,Yes,Car,Off,1,9,242600
269,Darjeeling,10,1,Standard,3,No,Flight,Off,12,3,52500
270,Bangalore,9,5,Budget,2,Yes,Car,Off,1,1,160500
271,Agra,1,8,Standard,2,No,Car,Off,4,6,47800
272,Manali,7,8,Standard,2,Yes,Flight,Peak,2,4,367650
273,Kochi,2,7,Budget,4,No,Car,Off,5,2,89200
274,Kochi,3,7,Standard,4,No,Train,Peak,7,6,196650
275,Chennai,4,2,Standard,3,No,Bus,Peak,5,7,63450
276,Shimla,7,8,Premium,4,Yes,Car,Off,5,5,356000
277,Agra,7,7,Premium,3,Yes,Train,Off,14,1,257500
278,Mumbai,5,1,Premium,2,No,Train,Off,3,3,23000
279,Chennai,8,4,Premium,3,No,Flight,Off,3,1,180500
280,Goa,7,4,Budget,4,No,Car,Peak,6,4,237600
281,Udaipur,9,4,Standard,4,Yes,Flight,Off,14,3,224600
282,Manali,4,1,Standard,3,Yes,Train,Peak,4,1,32850
283,Agra,9,3,Premium,3,No,Train,Off,15,2,140500
284,Bangalore,8,8,Premium,3,No,Car,Off,8,9,340500
285,Ooty,3,3,Standard,5,No,Flight,Off,5,3,75900
286,Rishikesh,3,3,Premium,4,No,Bus,Peak,20,10,93000
287,Mumbai,3,5,Premium,3,Yes,Car,Off,1,1,87000
288,Darjeeling,1,7,Budget,3,No,Car,Off,20,9,48600
289,Manali,9,6,Budget,4,No,Bus,Off,1,8,296200
290,Amritsar,6,1,Standard,2,No,Flight,Off,6,1,27100
291,Mysore,6,4,Budget,5,No,Bus,Off,5,2,156200
292,Chennai,7,1,Standard,5,No,Train,Off,9,5,50200
293,Agra,1,7,Standard,2,No,Flight,Peak,19,7,95550
294,Leh,10,7,Premium,5,Yes,Car,Peak,11,3,760500
295,Chennai,4,7,Budget,2,No,Train,Off,15,6,105900
296,Varanasi,3,1,Budget,3,No,Train,Off,18,1,14900
297,Mysore,1,8,Standard,4,No,Car,Peak,19,8,97200
298,Mysore,2,1,Standard,4,Yes,Train,Off,13,10,19200
299,Shimla,2,2,Standard,5,Yes,Train,Off,15,9,35400
300,Mumbai,3,5,Standard,3,No,Bus,Off,9,9,78500
301,Goa,5,2,Premium,4,Yes,Train,Off,16,6,67500
302,Mumbai,4,3,Standard,4,No,Train,Peak,19,2,109050
303,Pondicherry,5,6,Budget,3,No,Train,Off,5,4,140000
304,Mysore,7,7,Premium,3,Yes,Car,Off,14,10,265500
305,Kochi,8,5,Premium,5,Yes,Car,Off,18,1,292000
306,Agra,3,2,Premium,4,No,Bus,Peak,12,3,59250
307,Udaipur,2,3,Budget,4,No,Train,Off,19,2,37300
308,Varanasi,10,8,Budget,2,No,Bus,Peak,15,5,411750
309,Rishikesh,1,5,Budget,5,No,Train,Peak,13,4,61500
310,Agra,6,7,Premium,5,Yes,Train,Peak,10,4,462000
311,Darjeeling,9,3,Standard,4,No,Train,Off,15,3,157200
312,Hyderabad,10,8,Premium,5,No,Bus,Peak,14,4,855000
313,Mysore,8,2,Standard,5,Yes,Train,Peak,19,9,171900
314,Shimla,6,5,Premium,3,No,Bus,Peak,8,5,236250
315,Rishikesh,7,7,Premium,5,Yes,Car,Off,14,7,362000
316,Chennai,6,2,Budget,2,No,Car,Off,10,5,46100
317,Mumbai,4,6,Standard,4,Yes,Car,Peak,10,4,224850
318,Leh,8,8,Standard,3,No,Bus,Peak,20,5,457350
319,Mysore,8,1,Budget,5,No,Train,Peak,3,3,80100
320,Agra,10,7,Standard,2,Yes,Bus,Peak,13,7,396000
321,Goa,8,8,Budget,4,No,Bus,Off,3,9,351700
322,Kochi,4,5,Budget,2,Yes,Flight,Peak,16,2,140250
323,Goa,4,5,Budget,2,No,Flight,Off,18,9,95500
324,Amritsar,6,1,Standard,3,No,Train,Off,7,8,33100
325,Chennai,3,4,Budget,4,No,Car,Off,12,3,73100
326,Leh,2,4,Standard,2,Yes,Car,Peak,11,6,61950
327,Leh,6,5,Budget,5,No,Flight,Off,17,6,217000
328,Chennai,3,6,Standard,5,Yes,Car,Peak,3,6,202950
329,Pondicherry,3,3,Premium,2,Yes,Car,Peak,19,9,72000
330,Darjeeling,4,3,Budget,2,No,Flight,Off,18,5,57100
331,Jaipur,3,6,Premium,5,Yes,Car,Peak,8,9,216000
332,Jaipur,1,6,Budget,5,Yes,Train,Peak,10,7,77700
333,Rishikesh,8,8,Budget,3,No,Bus,Peak,1,9,431550
334,Goa,8,1,Premium,4,No,Bus,Off,19,7,52500
335,Amritsar,1,6,Premium,4,Yes,Car,Peak,12,6,78750
336,Darjeeling,1,4,Budget,2,Yes,Car,Peak,5,5,37800
337,Rishikesh,10,1,Budget,2,No,Train,Off,11,7,38000
338,Goa,6,2,Budget,5,No,Flight,Off,7,4,87600
339,Chennai,5,5,Budget,3,Yes,Train,Off,15,8,120500
340,Pondicherry,8,5,Premium,2,No,Flight,Peak,6,5,281250
341,Agra,10,8,Budget,4,No,Flight,Peak,19,5,699750
342,Jaipur,9,8,Standard,4,No,Car,Peak,12,6,633300
343,Jaipur,7,1,Standard,4,No,Bus,Off,12,4,42200
344,Amritsar,8,3,Budget,4,Yes,Car,Off,1,4,136700
345,Manali,1,8,Standard,4,Yes,Train,Peak,13,7,92700
346,Leh,10,5,Premium,5,Yes,Car,Off,9,8,365500
347,Ooty,6,7,Budget,5,Yes,Bus,Peak,7,2,411150
348,Jaipur,7,5,Premium,2,Yes,Car,Off,12,6,154500
349,Udaipur,10,7,Standard,4,Yes,Bus,Peak,2,6,605250
350,Shimla,2,8,Budget,5,No,Flight,Off,17,8,144800
351,Amritsar,2,8,Budget,4,Yes,Car,Peak,5,8,159450
352,Mysore,7,1,Budget,5,Yes,Train,Off,11,4,49100
353,Chennai,7,8,Standard,3,Yes,Bus,Off,17,6,270100
354,Kochi,5,7,Standard,3,Yes,Bus,Peak,19,2,255750
355,Goa,7,5,Standard,2,Yes,Car,Off,12,1,138000
356,Delhi,3,8,Premium,2,Yes,Flight,Off,5,3,139000
357,Amritsar,4,3,Standard,2,Yes,Train,Off,12,1,49700
358,Goa,10,7,Standard,2,No,Train,Peak,2,5,397500
359,Bangalore,3,1,Standard,4,No,Bus,Peak,4,2,28200
360,Ooty,1,8,Premium,3,Yes,Car,Peak,9,2,87750
361,Rishikesh,1,3,Standard,2,Yes,Train,Off,2,8,20800
362,Rishikesh,6,7,Standard,5,Yes,Flight,Peak,2,9,477300
363,Delhi,7,3,Budget,3,No,Train,Peak,11,9,148950
364,Mysore,8,8,Standard,3,Yes,Flight,Off,14,6,338900
365,Darjeeling,8,8,Premium,5,Yes,Train,Off,10,1,462000
366,Mumbai,10,4,Budget,5,Yes,Train,Peak,3,4,392250
367,Kochi,4,8,Standard,5,Yes,Bus,Peak,18,2,332550
368,Ooty,7,3,Premium,3,Yes,Car,Off,5,5,115000
369,Leh,6,4,Premium,4,No,Flight,Off,4,1,164500
370,Bangalore,1,8,Standard,2,Yes,Bus,Peak,13,6,61950
371,Agra,8,3,Standard,4,Yes,Bus,Off,2,4,140900
372,Varanasi,6,3,Premium,2,No,Bus,Peak,16,10,120000
373,Chennai,2,4,Budget,5,No,Train,Off,12,2,57400
374,Bangalore,3,1,Standard,3,No,Bus,Off,5,6,17800
375,Varanasi,1,3,Standard,3,Yes,Bus,Off,8,9,22800
376,Delhi,10,7,Standard,4,No,Car,Off,11,1,406500
377,Darjeeling,7,5,Standard,3,Yes,Flight,Peak,2,8,287250
378,Leh,9,7,Budget,5,Yes,Bus,Off,10,2,406400
379,Leh,10,2,Premium,3,Yes,Car,Off,13,2,106500
380,Mysore,4,7,Premium,4,Yes,Train,Off,9,3,181500
381,Darjeeling,9,7,Premium,4,No,Flight,Off,9,8,417000
382,Darjeeling,1,5,Budget,3,No,Bus,Peak,13,8,45750
383,Shimla,4,7,Standard,5,Yes,Bus,Peak,10,3,292200
384,Udaipur,4,6,Budget,5,Yes,Car,Off,3,3,166200
385,Leh,5,5,Budget,4,Yes,Train,Off,6,2,142500
386,Amritsar,4,4,Standard,5,No,Train,Peak,20,2,168900
387,Pondicherry,3,6,Standard,4,No,Car,Off,4,7,116300
388,Udaipur,1,3,Budget,5,No,Train,Peak,15,6,39600
389,Chennai,1,6,Standard,3,Yes,Train,Peak,1,9,63900
390,Delhi,1,4,Standard,5,No,Flight,Off,5,10,51400
391,Udaipur,10,3,Standard,5,Yes,Car,Peak,2,10,315750
392,Rishikesh,2,4,Budget,3,No,Car,Peak,15,5,67350
393,Leh,3,2,Standard,5,Yes,Train,Peak,18,9,72900
394,Delhi,7,1,Budget,4,No,Flight,Off,18,3,43600
395,Leh,2,5,Premium,4,No,Train,Peak,14,6,105750
396,Manali,5,4,Premium,2,Yes,Train,Peak,14,1,132000
397,Manali,2,2,Standard,5,Yes,Flight,Off,9,9,42400
398,Mumbai,8,1,Standard,5,Yes,Bus,Off,1,10,60300
399,Varanasi,8,8,Standard,2,No,Car,Off,12,7,249900
400,Manali,8,5,Standard,2,No,Flight,Off,8,4,171000
401,Udaipur,2,6,Standard,4,No,Bus,Off,6,2,74200
402,Chennai,4,4,Budget,3,No,Flight,Peak,7,4,136200
